probe,grade,Gb.acc,EntrezGene.ID,NCBI.gene.symbol,HUGO.gene.symbol,Cytoband,Alternative.symbols,Description
201088_at,3,NM_002266,3838,KPNA2,KPNA2,17q23.1-q23.3,IPOA1|QIP2|RCH1|SRP1alpha,"karyopherin alpha 2 (RAG cohort 1, importin alpha 1)"
201090_x_at,3,NM_006082,NA,NA,NA,NA,NA,NA
201195_s_at,3,AB018009,8140,SLC7A5,SLC7A5,16q24.3,4F2LC|CD98|D16S469E|E16|LAT1|MPE16|hLAT1,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5"
201475_x_at,3,NM_004990,4141,MARS,MARS,12q13.2,FLJ35667|METRS|MTRNS,methionine-tRNA synthetase
201524_x_at,3,NM_003348,7334,UBE2N,UBE2N,12q22,MGC131857|MGC8489|UBC13|UbcH-ben,"ubiquitin-conjugating enzyme E2N (UBC13 homolog, yeast)"
201584_s_at,3,NM_005804,10212,DDX39,DDX39,19p13.12,BAT1|BAT1L|DDXL|MGC18203|MGC8417|URH49,DEAD (Asp-Glu-Ala-Asp) box polypeptide 39
201710_at,3,NM_002466,4605,MYBL2,MYBL2,20q13.1,B-MYB|BMYB|MGC15600,v-myb myeloblastosis viral oncogene homolog (avian)-like 2
201890_at,3,BE966236,NA,NA,NA,NA,NA,NA
202094_at,3,AA648913,332,BIRC5,BIRC5,17q25,API4|EPR-1,baculoviral IAP repeat-containing 5 (survivin)
202095_s_at,3,NM_001168,332,BIRC5,BIRC5,17q25,API4|EPR-1,baculoviral IAP repeat-containing 5 (survivin)
202107_s_at,3,NM_004526,4171,MCM2,MCM2,3q21,BM28|CCNL1|CDCL1|D3S3194|KIAA0030|MGC10606|MITOTIN|cdc19,"MCM2 minichromosome maintenance deficient 2, mitotin (S. cerevisiae)"
202240_at,3,NM_005030,5347,PLK1,PLK1,16p12.1,PLK|STPK13,polo-like kinase 1 (Drosophila)
202580_x_at,3,NM_021953,2305,FOXM1,FOXM1,12p13,FKHL16|FOXM1B|HFH-11|HFH11|HNF-3|INS-1|MPHOSPH2|MPP-2|MPP2|PIG29|TRIDENT,forkhead box M1
202705_at,3,NM_004701,9133,CCNB2,CCNB2,15q22.2,HsT17299,cyclin B2
202779_s_at,3,NM_014501,27338,UBE2S,UBE2S,19q13.43,E2-EPF,ubiquitin-conjugating enzyme E2S
202870_s_at,3,NM_001255,991,CDC20,CDC20,1p34.1,CDC20A|MGC102824|bA276H19.3|p55CDC,cell division cycle 20 homolog (S. cerevisiae)
202954_at,3,NM_007019,11065,UBE2C,UBE2C,20q13.12,UBCH10|dJ447F3.2,ubiquitin-conjugating enzyme E2C
203022_at,3,NM_006397,10535,RNASEH2A,RNASEH2A,19p13.13,AGS4|JUNB|RNASEHI|RNHIA|RNHL,"ribonuclease H2, subunit A"
203046_s_at,3,NM_003920,8914,TIMELESS,TIMELESS,12q12-q13,FLJ12640|FLJ20714|TIM|TIM1|hTIM,timeless homolog (Drosophila)
203145_at,3,NM_006461,10615,SPAG5,SPAG5,17q11.2,DEEPEST|MAP126|hMAP126,sperm associated antigen 5
203213_at,3,AL524035,NA,NA,NA,NA,NA,NA
203214_x_at,3,NM_001786,983,CDC2,CDC2,10q21.1,CDC28A|CDK1|DKFZp686L20222|MGC111195,"cell division cycle 2, G1 to S and G2 to M"
203276_at,3,NM_005573,4001,LMNB1,LMNB1,5q23.3-q31.1,LMN|LMN2|LMNB|MGC111419,lamin B1
203362_s_at,3,NM_002358,4085,MAD2L1,MAD2L1,4q27,HSMAD2|MAD2,MAD2 mitotic arrest deficient-like 1 (yeast)
203418_at,3,NM_001237,890,CCNA2,CCNA2,4q25-q31,CCN1|CCNA,cyclin A2
203432_at,3,AW272611,NA,NA,NA,NA,NA,NA
203554_x_at,3,NM_004219,9232,PTTG1,PTTG1,5q35.1,EAP1|HPTTG|MGC126883|MGC138276|PTTG|SECURIN|TUTR1,pituitary tumor-transforming 1
203744_at,3,NM_005342,3149,HMGB3,HMGB3,Xq28,HMG2A|HMG4|MGC90319,high-mobility group box 3
203755_at,3,NM_001211,701,BUB1B,BUB1B,15q15,BUB1beta|BUBR1|Bub1A|MAD3L|SSK1|hBUBR1,BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)
203764_at,3,NM_014750,9787,DLG7,DLG7,14q22.3,DLG1|HURP|KIAA0008,"discs, large homolog 7 (Drosophila)"
