# Benjamin Haibe-Kains. All rights reserved.
# method.cor: spearman
# method.centroids: mean
# std: none
# rescale.q: 0.05
# mins: 5
# centroid.Basal: 0.718331891 0.537372301 -0.574506867 -0.11876043 0.300488641 -0.642677513 0.191208143 0.560271028 0.399695242 0.159418279 0.472400168 0.508362012 0.482976288 0.567748894 -0.920385813 -0.030416849 -0.80835398 -2.746513086 0.428090356 -0.271238025 -2.626946721 1.490451472 -1.054974672 -0.276128586 0.20357258 0.600356167 0.096826723 0.482565528 0.506640416 -0.425829273 -0.251366205 0.523033872 1.578276368 0.476537448 -0.339972459 -0.556037672 0.389893452 0.178763812 -0.936848946 0.216304797 -0.429133389 0.63451887 0.264131894 0.156204676 0.987988459 -1.051125052 -1.109458181 0.449800897 0.218534147 0.389908898
# centroid.Her2: -0.481665675 0.266931609 -0.476072868 -0.157913959 0.405733099 0.335336041 0.135476652 0.066872232 0.00835552 0.58900682 -0.023819207 0.210889692 -0.02926616 0.276381022 -0.241550612 -0.096382621 1.759844231 -1.513111253 0.049297194 0.821778152 0.022827151 -0.947174192 0.583194826 1.03065778 -0.165102048 0.042546792 -0.443646142 -0.337837101 -0.428261778 -0.357506541 -0.106728681 0.198013115 -0.904898621 0.06566236 -0.195228658 0.50675876 0.20526358 -1.046832832 -0.089988492 0.204402449 -0.279409916 -0.186625862 0.055809895 0.682724889 -1.048202667 -0.695736457 1.330636172 0.052944897 0.061080598 0.284536813
# centroid.LumA: 0.00998107 -0.579245716 0.758221161 0.28748744 -0.881434366 0.042042017 -0.491662114 -0.430291227 -0.46904401 -0.612824305 -0.712520819 -0.513649344 -0.543740234 -0.746721735 0.467411571 0.009162963 0.608191264 2.161411882 -0.567474505 0.170811925 1.017457421 -0.17495796 0.685489973 0.041568986 -0.505394668 -0.588220989 0.368375943 0.014209862 0.215320068 0.700622718 0.14195743 -0.582088108 -0.165258584 -0.501871622 0.339304418 -0.00625509 -0.843569931 -0.090830821 2.922786792 -0.352220667 0.445785003 -0.398682234 -0.63446827 -0.9507602 0.131566364 2.061459075 0.446242045 -0.644602075 -0.519818399 -0.539259391
# centroid.LumB: -0.190551328 0.098804179 -0.405458622 -0.441339498 0.603850777 0.691204962 0.503176358 -0.01666143 -0.070412466 0.510895969 0.589626883 -1.419134437 0.278228556 0.460015762 0.32133502 -0.412401259 0.159651874 1.605899914 0.141241282 -0.247036038 0.360757795 -1.564854964 0.714407601 0.087750887 -0.182890713 0.386706844 -0.639446966 -1.463742934 -0.91160727 -0.190340574 -0.133779037 0.44793463 -1.422926267 -0.145217868 -0.456149915 0.334199309 0.46728199 0.015264397 0.470788042 0.11062765 -0.448839844 -1.030139318 0.249725281 0.35066384 -1.720458262 1.653303022 0.375688226 0.492606521 0.292799306 0.738952133
# centroid.Normal: 0.465722871 -0.836939593 0.316552973 0.533978871 -0.876636424 -0.163412812 -0.545269312 -0.255476058 -0.04550481 -0.595752175 -0.370533365 0.757920624 -0.070583075 -1.162374186 0.050901436 0.341637082 -0.870238456 -0.418282349 -0.450780537 0.857472777 -0.782812106 1.111547864 -0.423568467 0.241710991 -0.390014484 -1.06962886 1.73568631 1.759598437 1.785116895 0.117828498 0.274214011 -0.743764676 2.038859556 -0.166004063 0.750758365 -2.326985119 -0.601704754 1.029176203 -0.363273764 -0.255879493 0.126011482 0.660437753 -0.54978126 -1.12105493 2.436288668 0.116889694 0.036208914 -0.726989454 -0.408894685 -0.952381005
"probe","probe.centroids","EntrezGene.ID"
"ACTR3B","ACTR3B","57180"
"ANLN","ANLN","54443"
"BAG1","BAG1","573"
"BCL2","BCL2","596"
"BIRC5","BIRC5","332"
"BLVRA","BLVRA","644"
"CCNB1","CCNB1","891"
"CCNE1","CCNE1","898"
"CDC20","CDC20","991"
"CDC6","CDC6","990"
"CDCA1","CDCA1","83540"
"CDH3","CDH3","1001"
"CENPF","CENPF","1063"
"CEP55","CEP55","55165"
"CXXC5","CXXC5","51523"
"EGFR","EGFR","1956"
"ERBB2","ERBB2","2064"
"ESR1","ESR1","2099"
"EXO1","EXO1","9156"
"FGFR4","FGFR4","2264"
"FOXA1","FOXA1","3169"
"FOXC1","FOXC1","2296"
"GPR160","GPR160","26996"
"GRB7","GRB7","2886"
"KIF2C","KIF2C","11004"
"KNTC2","KNTC2","10403"
"KRT14","KRT14","3861"
"KRT17","KRT17","3872"
"KRT5","KRT5","3852"
"MAPT","MAPT","4137"
"MDM2","MDM2","4193"
"MELK","MELK","9833"
"MIA","MIA","8190"
"MKI67","MKI67","4288"
"MLPH","MLPH","79083"
"MMP11","MMP11","4320"
"MYBL2","MYBL2","4605"
"MYC","MYC","4609"
"NAT1","NAT1","9"
"ORC6L","ORC6L","23594"
"PGR","PGR","5241"
"PHGDH","PHGDH","26227"
"PTTG1","PTTG1","9232"
"RRM2","RRM2","6241"
"SFRP1","SFRP1","6422"
"SLC39A6","SLC39A6","25800"
"TMEM45B","TMEM45B","120224"
"TYMS","TYMS","7298"
"UBE2C","UBE2C","11065"
"UBE2T","UBE2T","29089"
